MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
34.6,5.41,1,10.7,201566,7.2,10.4,2.5,1.7,10.2,OKC,31.6,24.0,81,1.63,10.4,Russell Westbrook,0.38,9.0,8.8,33.8,0.845,0.425,0.343
36.4,5.73,2,8.1,201935,9.3,11.2,3.2,1.2,8.3,HOU,29.1,18.9,81,1.49,10.9,James Harden,0.47,7.0,9.2,32.4,0.847,0.44,0.347
33.8,2.76,3,2.7,202738,8.5,5.9,3.2,0.6,9.0,BOS,28.9,19.4,76,0.92,8.5,Isaiah Thomas,0.17,2.1,7.8,24.7,0.909,0.463,0.379
36.1,2.41,4,11.8,203076,1.8,2.1,0.5,2.3,10.3,NOP,28.0,20.3,75,1.25,8.6,Anthony Davis,2.23,9.5,6.9,31.1,0.802,0.505,0.299
35.4,2.43,5,5.2,201942,1.7,3.9,0.4,0.9,9.7,TOR,27.3,20.9,74,1.05,8.7,DeMar DeRozan,0.18,4.3,7.4,22.7,0.842,0.467,0.266
35.9,2.63,6,4.9,203081,7.7,5.9,2.9,0.6,8.8,POR,27.0,19.8,75,0.91,7.3,Damian Lillard,0.27,4.3,6.5,24.5,0.895,0.444,0.37
34.2,3.74,7,11.0,202326,5.0,4.6,1.8,2.1,9.0,NOP,27.0,19.9,72,1.39,9.3,DeMarcus Cousins,1.29,8.9,7.2,28.5,0.772,0.452,0.361
37.8,4.09,8,8.6,2544,4.6,8.7,1.7,1.3,9.9,CLE,26.4,18.2,74,1.24,7.2,LeBron James,0.59,7.3,4.8,31.0,0.674,0.548,0.363
33.6,2.08,9,5.8,202695,5.2,3.5,2.0,1.1,8.6,SAS,25.5,17.7,74,1.8,7.2,Kawhi Leonard,0.74,4.7,6.3,25.3,0.88,0.485,0.38
33.4,3.03,10,4.5,201939,10.0,6.6,4.1,0.8,8.5,GSW,25.3,18.3,79,1.8,4.6,Stephen Curry,0.22,3.7,4.1,25.2,0.898,0.468,0.411
35.1,2.5,11,3.2,202681,6.1,5.8,2.5,0.7,9.3,CLE,25.2,19.7,72,1.15,4.6,Kyrie Irving,0.33,2.5,4.1,22.4,0.905,0.473,0.401
37.0,2.59,12,12.3,1626157,3.4,2.7,1.2,3.6,9.8,MIN,25.1,18.0,82,0.68,5.2,Karl-Anthony Towns,1.26,8.7,4.3,30.3,0.832,0.542,0.367
33.4,2.23,13,8.3,201142,5.0,4.8,1.9,0.6,8.9,GSW,25.1,16.5,62,1.06,6.2,Kevin Durant,1.6,7.6,5.4,30.2,0.875,0.537,0.375
37.0,2.09,14,6.2,202710,3.3,5.5,1.2,1.7,7.5,CHI,23.9,16.5,76,1.88,8.9,Jimmy Butler,0.42,4.5,7.7,25.6,0.865,0.455,0.367
35.9,2.93,15,6.6,202331,6.6,3.3,2.6,0.8,8.3,IND,23.7,18.0,75,1.59,5.0,Paul George,0.36,5.8,4.5,22.4,0.898,0.461,0.393
37.2,2.28,16,4.0,203952,3.5,2.3,1.3,1.2,8.6,MIN,23.6,19.1,82,1.0,6.6,Andrew Wiggins,0.37,2.8,5.0,16.9,0.76,0.452,0.356
34.7,2.13,17,3.9,202689,7.6,5.5,3.0,0.6,8.1,CHA,23.2,18.3,79,1.08,4.5,Kemba Walker,0.28,3.3,3.8,20.9,0.847,0.444,0.399
36.4,4.13,18,4.2,202322,3.5,10.7,1.1,0.8,8.3,WAS,23.1,18.4,78,2.01,6.8,John Wall,0.63,3.4,5.4,25.0,0.801,0.451,0.327
