MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
38.8,6.0,1,11.6,201566,9.8,10.8,2.6,1.8,11.8,OKC,37.4,30.4,5,2.4,14.0,Russell Westbrook,0.4,9.8,11.2,35.2,0.8,0.388,0.265
41.3,4.0,2,9.1,2544,5.9,7.8,2.4,1.1,12.1,CLE,32.8,21.3,18,1.94,9.0,LeBron James,1.28,8.1,6.3,37.0,0.698,0.565,0.411
35.5,2.53,3,7.9,201142,5.7,4.3,2.5,1.1,9.9,GSW,28.5,17.9,15,0.8,6.9,Kevin Durant,1.33,6.9,6.1,31.7,0.893,0.556,0.442
37.0,5.36,4,5.5,201935,10.5,8.5,2.9,0.6,8.2,HOU,28.5,19.8,11,1.91,10.5,James Harden,0.45,4.8,9.2,26.5,0.878,0.413,0.278
35.4,3.41,5,6.2,201939,10.1,6.7,4.2,1.3,8.9,GSW,28.1,18.4,17,2.0,6.7,Stephen Curry,0.24,4.9,6.1,29.7,0.904,0.484,0.419
43.0,3.25,6,8.8,202331,10.5,7.3,4.5,1.3,8.5,IND,28.0,22.0,4,1.75,7.5,Paul George,0.5,7.5,6.5,28.5,0.867,0.386,0.429
37.8,3.25,7,4.5,203081,8.0,3.3,2.3,1.0,9.8,POR,27.8,22.5,4,1.25,6.3,Damian Lillard,0.5,3.5,6.0,21.0,0.96,0.433,0.281
35.8,2.17,8,7.8,202695,4.6,4.6,2.1,1.6,8.8,SAS,27.7,16.8,12,1.67,8.5,Kawhi Leonard,0.5,6.2,7.9,31.4,0.931,0.525,0.455
39.0,4.23,9,3.7,202322,4.7,10.3,1.6,0.5,9.8,WAS,27.2,21.6,13,1.69,7.2,John Wall,1.15,3.2,6.0,26.8,0.839,0.452,0.344
36.3,2.67,10,2.8,202681,6.6,5.3,2.4,0.7,9.6,CLE,25.9,20.6,18,1.28,4.7,Kyrie Irving,0.44,2.1,4.2,21.7,0.905,0.468,0.373
37.1,2.71,11,5.0,101108,5.4,9.9,2.0,0.6,9.6,LAC,25.3,19.3,7,1.71,4.7,Chris Paul,0.14,4.4,4.1,29.0,0.879,0.496,0.368
38.8,2.08,12,3.4,203078,7.8,2.7,2.2,1.2,9.4,WAS,24.8,19.9,13,1.62,4.7,Bradley Beal,0.62,2.2,3.8,19.7,0.82,0.471,0.287
40.5,3.33,13,9.5,203507,1.7,4.0,0.7,1.7,10.0,MIL,24.8,18.7,6,2.17,7.7,Giannis Antetokounmpo,1.67,7.8,4.2,26.7,0.543,0.536,0.4
35.2,1.67,14,2.3,203471,6.7,7.7,2.8,0.7,8.3,ATL,24.7,18.3,6,1.0,6.2,Dennis Schroder,0.0,1.7,5.2,23.0,0.838,0.455,0.425
